mean,sigma,skewness,kurtosis
-57.00919955292284,-4.041271410042043,-0.16867607125111136,0.04774023126371629
-44.34048836329475,-2.4398612935259507,-0.13138645606348398,0.028887513788877772
-31.671777307064986,-1.2429809803066973,-0.09394632380324788,0.014740152958179653
-19.003066346122978,-0.4470322475999069,-0.05640593157053338,0.005306631648279936
-6.334355442354536,-0.049645827294511946,-0.01880819540011018,0.0005896285971225268
6.334355442356355,-0.049645827294511946,0.01880819540012366,0.0005896285971225268
19.003066346127525,-0.4470322475999069,0.05640593157056722,0.00530663164828149
31.671777307067714,-1.2429809803066973,0.09394632380326833,0.014740152958180985
44.34048836329657,-2.439861293525894,0.13138645606349764,0.028887513788876884
57.009199552925566,-4.0412714100421,0.1686760712511318,0.04774023126371829
