mean,sigma,skewness,kurtosis,chi2
-100.0,2.338836543458456e-05,3.43740390664928e-11,2.7779362343771647e-07,974.6349282398589
-77.77777777777645,1.992342265566549e-05,3.904668716834197e-11,2.3663902815052038e-07,1098.639538733693
-55.555555555554754,1.546849597389155e-05,3.7894665305382367e-11,1.8372596999327587e-07,356.38938714636794
-33.33333333333303,1.0023585389262736e-05,2.945947124592398e-11,1.1905444119442164e-07,76.84250804072217
-11.111111111110404,3.5886910723093024e-06,1.2309969977212145e-11,4.2624435092619706e-08,29.355253148369975
11.111111111111311,3.5886911291527213e-06,-1.2306478017526026e-11,4.262443398239668e-08,28.326709552291067
33.33333333333303,1.0023585389262736e-05,-2.94629632056101e-11,1.1905444075033245e-07,70.21712556320894
55.55555555555657,1.5468495803361293e-05,-3.788248405066338e-11,1.8372596977123123e-07,329.41598738238673
77.77777777777828,1.9923422485135237e-05,-3.9033612621610266e-11,2.366390274843866e-07,556.9793832550014
100.00000000000091,2.338836543458456e-05,-3.4366243063472634e-11,2.7779362343771647e-07,680.1992649074772
-0.15001500149992353,-11.519290071624086,4.984882225648882e-15,-6.5636081014730516e-09,8.763430089764848
-0.15001500149992353,-8.92095396385622,1.5917231036664547e-15,-5.032835481699749e-09,40.08044379878023
-0.15001500149992353,-6.495840264013452,5.0070590714402004e-15,-3.6311047502124442e-09,8.595413932230409
-0.15001500149992353,-3.89750415781748,4.854313041563582e-15,-2.1574353414877123e-09,13.216158097942376
-0.15001500149992353,-1.29916805241146,1.6076672088486568e-15,-7.121918610408784e-10,19.094266099241604
-0.15001500149992353,1.1259456452679617,3.4200020284056947e-15,6.116993578331176e-10,9.091242859230684
-0.15001500150083302,3.7242817491893447,-3.3180575517839038e-15,2.0040289427925018e-09,21.1486682159604
-0.15001500149901406,6.32261785236426,8.339442748528478e-15,3.3700016111026802e-09,17.913839365049096
-0.15001500149992353,8.747731547999592,3.4018076688137867e-15,4.621709459584622e-09,9.47360550742978
-0.15001500149992353,11.346067649770761,3.58066759345909e-15,5.938578517827864e-09,16.923459521130695
-57.00919955292284,-4.041271410042043,-0.16867607125111134,0.047740231263716286,193.01752777075916
-44.34048836329475,-2.4398612935259507,-0.13138645606348398,0.02888751378887777,154.11995343074605
-31.671777307064986,-1.2429809803066971,-0.09394632380324787,0.014740152958179653,153.78766228947848
-19.003066346122978,-0.4470322475999069,-0.05640593157053338,0.005306631648279936,54.20707744105954
-6.334355442354536,-0.049645827294511946,-0.01880819540011018,0.0005896285971225268,15.191975081799518
6.3343554423563555,-0.049645827294511946,0.01880819540012366,0.0005896285971225268,34.5297579277171
19.003066346127525,-0.4470322475999069,0.056405931570567225,0.00530663164828149,81.21496978397437
31.671777307067714,-1.2429809803066971,0.09394632380326833,0.014740152958180984,64.66544981066303
44.340488363296565,-2.439861293525894,0.13138645606349764,0.02888751378887688,255.70960497120208
57.009199552925566,-4.0412714100421,0.1686760712511318,0.047740231263718284,233.76827468674682
0.0,0.0,0.0,0.0,41.74883412229553
-0.00013608856625069166,3.1335095146488925,1.5761376677762084e-08,0.00014875063699570923,18.424937163771613
-0.00013713353655475657,6.378504229434099,3.12612247881068e-08,0.0005858421554481018,21.72550355248952
-0.0001381623042107094,9.64777869268437,4.6492420080052414e-08,0.001297141021108006,7.870333483737538
-0.00013917523938289378,12.940761939153733,6.144887048983352e-08,0.002268914431494462,11.830256369854839
-0.0001401727049596957,16.256896817148117,7.61254675146119e-08,0.003487744983543317,14.227579067106486
-0.00014115505564404882,19.59563975994081,9.051802243104753e-08,0.0049405511937963284,16.455171214463668
-0.0001421226288584876,22.95646054964618,1.0462326902932402e-07,0.0066146042836718886,13.496106818111178
-0.00014307575838756748,26.338842074835497,1.1843869399841411e-07,0.008497541560540391,17.63661010273965
-0.0001440147643734235,29.74228008304101,1.3196256384448134e-07,0.010577376709115294,14.79675379696539
