mean,sigma,skewness,kurtosis
0.0,0.0,0.0,0.0
-0.00013608856625069166,3.1335095146488925,1.5761376677762084e-08,0.00014875063699570923
-0.00013713353655475657,6.3785042294341,3.12612247881068e-08,0.0005858421554481019
-0.0001381623042107094,9.64777869268437,4.649242008005241e-08,0.0012971410211080059
-0.00013917523938289378,12.940761939153731,6.144887048983352e-08,0.002268914431494462
-0.0001401727049596957,16.256896817148117,7.61254675146119e-08,0.003487744983543317
-0.00014115505564404884,19.59563975994081,9.051802243104753e-08,0.004940551193796328
-0.0001421226288584876,22.95646054964618,1.0462326902932402e-07,0.006614604283671888
-0.00014307575838756748,26.338842074835497,1.184386939984141e-07,0.00849754156054039
-0.00014401476437342353,29.74228008304101,1.3196256384448137e-07,0.010577376709115294
