mean,sigma,skewness,kurtosis
-0.15001500149992353,-11.519290071624084,4.9848822256488825e-15,-6.563608101473051e-09
-0.15001500149992353,-8.92095396385622,1.5917231036664543e-15,-5.032835481699749e-09
-0.15001500149992353,-6.495840264013452,5.0070590714402004e-15,-3.631104750212444e-09
-0.15001500149992353,-3.8975041578174796,4.8543130415635815e-15,-2.1574353414877123e-09
-0.15001500149992353,-1.29916805241146,1.6076672088486568e-15,-7.121918610408784e-10
-0.15001500149992353,1.1259456452679615,3.420002028405695e-15,6.116993578331176e-10
-0.15001500150083302,3.7242817491893447,-3.3180575517839038e-15,2.0040289427925018e-09
-0.15001500149901403,6.32261785236426,8.339442748528478e-15,3.37000161110268e-09
-0.15001500149992353,8.747731547999592,3.4018076688137863e-15,4.621709459584622e-09
-0.15001500149992353,11.34606764977076,3.58066759345909e-15,5.938578517827864e-09
