mean,sigma,skewness,kurtosis
9.094947017729282e-13,-8.08309775397845,5.580173123943349e-15,3.031711623968647e-07
0.0,-6.28583867277672,4.709441999943365e-16,2.7616871589586367e-07
9.094947017729282e-13,-4.491123882237389,6.576052303461238e-15,8.915548321830613e-08
9.094947017729282e-13,-2.6942201330758166,7.476074877883338e-15,3.2984196929319864e-07
0.0,-0.8979234659674376,2.291578637732735e-16,1.9868324474536792e-07
9.094947017729282e-13,0.8981999123009246,5.1197287247873644e-15,1.9928056160800622e-07
9.094947017729282e-13,2.6941520017231824,5.207553387336094e-15,3.241031185652332e-07
0.0,4.489514337288199,-1.5322664071595207e-15,1.0019225205049054e-07
0.0,6.2870106388684235,5.830381725925311e-16,2.6983157019877524e-07
-9.094947017729282e-13,8.082038672577141,-5.9982895426390545e-15,2.907849971922616e-07
