mean,sigma,skewness,kurtosis
-60.61917853669911,-4.5723039211605965,-0.1792660856695857,0.05397139476210211
-47.1482499729882,-2.7597375293479445,-0.13966587333044445,0.03266044969668447
-33.67732140927728,-1.4056663699586238,-0.0998812227857628,0.016665853188814417
-20.20639284556637,-0.5054759413011993,-0.059974770275816436,0.005999962866430453
-6.735464281854547,-0.056132767395070005,-0.019999074947182983,0.000666666676482297
6.735464281857276,-0.05613276739501316,0.019999074947203124,0.000666666676481853
20.2063928455691,-0.5054759413011993,0.05997477027583673,0.005999962866431563
33.6773214092791,-1.405666369958567,0.09988122278577641,0.01666585318881353
47.148249972990925,-2.7597375293480013,0.13966587333046482,0.03266044969668647
60.61917853670184,-4.57230392116054,0.17926608566960647,0.053971394762103
