mean,sigma,skewness,kurtosis,Deltaz,Deltaz_err,var_name
-100.0,2.338836543458456e-05,3.43740390664928e-11,2.7779362343771647e-07,0.01628365779540001,0.0009666698373007617,shift
-77.77777777777645,1.992342265566549e-05,3.904668716834197e-11,2.3663902815052038e-07,0.013338334266000004,0.0010336474537566537,shift
-55.555555555554754,1.546849597389155e-05,3.7894665305382367e-11,1.8372596999327587e-07,0.009179089808049995,0.000867111078829071,shift
-33.33333333333303,1.0023585389262736e-05,2.945947124592398e-11,1.1905444119442164e-07,0.005539118684599981,0.0008766053414457338,shift
-11.111111111110404,3.5886910723093024e-06,1.2309969977212145e-11,4.2624435092619706e-08,0.0012319663579499999,0.0007478806007167369,shift
11.111111111111311,3.5886911291527213e-06,-1.2306478017526026e-11,4.262443398239668e-08,-0.0020081621123999847,0.00045808173576458353,shift
33.33333333333303,1.0023585389262736e-05,-2.94629632056101e-11,1.1905444075033245e-07,-0.0060139165647000005,0.0006772846870429184,shift
55.55555555555657,1.5468495803361293e-05,-3.788248405066338e-11,1.8372596977123123e-07,-0.010806655129349984,0.0008747069882772411,shift
77.77777777777828,1.9923422485135237e-05,-3.9033612621610266e-11,2.366390274843866e-07,-0.013872353910499988,0.0008010126040859649,shift
100.00000000000091,2.338836543458456e-05,-3.4366243063472634e-11,2.7779362343771647e-07,-0.0174444013663,0.0007537835588638763,shift
0.0,-12.125568496889686,3.2240402643111645e-15,-6.925175988214959e-09,0.0002165171640500188,0.0010802441948469894,stretch
9.094947017729282e-13,-9.429360304581225,5.908809866247804e-15,3.3549632982854405e-07,-0.0006284442647499985,0.0008891135621998026,stretch
0.0,-6.736578945667987,1.5374385442004282e-15,1.3043559499159588e-07,-0.0014818373167999708,0.0008720360992697862,stretch
0.0,-4.04095649697399,1.1623501360504618e-15,2.9529646838888373e-07,1.0257042800011773e-05,0.0007779967339890661,stretch
1.8189894035458565e-12,-1.3472338750402173,1.3910534022662214e-14,2.2967754076397284e-07,-0.0013180448118999752,0.000840543203559153,stretch
9.094947017729282e-13,1.3469530082866186,6.740294277854722e-15,2.292204490661476e-07,-5.6378494949975436e-05,0.0008005183914546731,stretch
9.094947017729282e-13,4.041594761022395,6.659890013711261e-15,2.897064275142469e-07,-0.00020343443740000606,0.0007994116407269269,stretch
0.0,6.7343878442838445,3.5011093749831806e-16,1.4150411953295358e-07,0.00123981832925001,0.0007312726624015508,stretch
0.0,9.429927362239653,1.820181341304316e-15,3.1596086058627293e-07,-0.00018441016689997174,0.0006757293896473118,stretch
1.8189894035458565e-12,12.122208046659464,1.1786270700726713e-14,4.2156138579940716e-08,-0.0003453647614499886,0.0007928265475171009,stretch
-60.61917853669912,-4.5723039211605965,-0.1792660856695857,0.05397139476210211,0.010339429335399991,0.0009068399541108349,tilt
-47.148249972988204,-2.7597375293479445,-0.13966587333044445,0.03266044969668447,0.0083981902148,0.0007761404994113291,tilt
-33.67732140927728,-1.4056663699586238,-0.0998812227857628,0.016665853188814417,0.0049885853097499985,0.0008306537998837495,tilt
-20.20639284556637,-0.5054759413011993,-0.059974770275816436,0.005999962866430453,0.00313667516975001,0.0007712803406319226,tilt
-6.735464281854547,-0.056132767395070005,-0.019999074947182983,0.0006666666764822969,0.0008512037368499994,0.0008716220501531755,tilt
6.735464281857276,-0.05613276739501316,0.019999074947203124,0.0006666666764818531,-0.0006279405829999849,0.0006209778352708293,tilt
20.206392845569102,-0.5054759413011993,0.059974770275836725,0.005999962866431563,-0.0034760894037999964,0.0006467970788212133,tilt
33.6773214092791,-1.405666369958567,0.0998812227857764,0.016665853188813532,-0.006352555220999983,0.0007472193119387176,tilt
47.14824997299093,-2.7597375293480013,0.13966587333046482,0.03266044969668647,-0.00899003333890001,0.0007757704185374703,tilt
60.61917853670184,-4.57230392116054,0.17926608566960647,0.053971394762103,-0.01110277306934998,0.0008664606716986979,tilt
0.0,0.0,0.0,0.0,-0.0004655870273499882,0.0009456017810212811,softening
0.21921767120147706,0.2660015035926904,-3.032904797988109e-09,0.003153184453419389,0.00040385801350000943,0.0007813404631520452,softening
0.13782845447167347,1.0629612456483528,-1.8111316899652268e-09,0.012526189366124818,0.0004011901175500057,0.0007396678268830476,softening
0.05675554440858833,2.3877729094893425,-8.501192990818042e-09,0.027864269961026974,-0.0004573560535999707,0.000777260287980024,softening
0.2756060083247576,4.235274893457813,-6.4621395491809945e-09,0.04875784817518025,-4.9879346200019933e-05,0.0007502911975845065,softening
0.1944913185352561,6.598437432263665,-1.216912560006574e-08,0.07466543700623185,-0.00010716472379997816,0.0007619643163986621,softening
0.11335343452810775,9.468402679193446,-1.2657633137938422e-08,0.10494044148887527,4.1913572350006646e-05,0.000738092144786895,softening
0.03222083844957524,12.834710425025776,-1.3176037941351625e-08,0.138863346507194,-0.0013516912674000057,0.0007246249120698941,softening
0.2511309174278722,16.685457781265143,-1.9057951763711675e-08,0.175674028819361,0.00036656978580001525,0.0007102308708616563,softening
0.1699883615010549,21.007469441243416,-1.093154447175217e-08,0.21460292887413732,0.0006713766593000062,0.0007986519469512922,softening
0.0,0.0,0.0,0.0,0.020163226758550024,0.0008536195443430138,scaling
0.0,0.0,0.0,0.0,0.016070033286250014,0.0007505797562038885,scaling
0.0,0.0,0.0,0.0,0.01093712106264999,0.0007243137744878895,scaling
0.0,0.0,0.0,0.0,0.0057192887144999986,0.000720383291916905,scaling
0.0,0.0,0.0,0.0,0.0024208637162500225,0.000831983676388283,scaling
0.0,0.0,0.0,0.0,-0.003272404184949966,0.00048204823822305636,scaling
