mean,sigma,skewness,kurtosis
0.0,0.0,0.0,0.0
0.21921767120147706,0.26600150359269037,-3.0329047979881094e-09,0.0031531844534193887
0.13782845447167347,1.0629612456483528,-1.8111316899652268e-09,0.012526189366124818
0.05675554440858832,2.3877729094893425,-8.501192990818042e-09,0.027864269961026977
0.27560600832475757,4.235274893457813,-6.4621395491809945e-09,0.04875784817518025
0.19449131853525614,6.598437432263665,-1.2169125600065741e-08,0.07466543700623185
0.11335343452810775,9.468402679193446,-1.2657633137938422e-08,0.10494044148887527
0.03222083844957524,12.834710425025776,-1.3176037941351625e-08,0.138863346507194
0.2511309174278722,16.685457781265143,-1.9057951763711675e-08,0.175674028819361
0.1699883615010549,21.007469441243416,-1.093154447175217e-08,0.21460292887413734
