mean,sigma,skewness,kurtosis
0.9357030485407449,0.17291002595220561,-0.002137246846171644,0.00011056949549570483
0.7441510252920125,0.09830231750970597,-0.0011723052682577652,0.00016170796581294056
2.7734260986462687,0.21230022602082954,-0.0014569381509134238,-0.0003417644599958969
3.7121239637217514,0.3753350429644797,-0.00020796146945495884,-0.0007202479865093814
5.242309205274978,0.7177320322747391,8.448278068251894e-05,-0.0005226443240793355
3.6679732062812036,0.6200614730421989,-0.0003729569867304359,-0.0011844093867661165
3.7616835563903805,0.4415602130364391,0.0003166576004088543,-0.0019021100134497537
1.3669774473682992,0.054789025618219966,-0.0005201681725877944,0.00029301889519439683
8.0685573588853,0.2124572236905351,-0.0034624159634934534,9.76274427726409e-05
8.180556696181156,0.29836931488944174,-0.0022737252342693703,0.0002952875149595524
12.319674409053732,0.8003716392094589,-0.002084117961709977,0.00045912857184315925
13.948477555611134,0.7007625116394252,-0.0009162583470176192,-0.0006898789684337547
15.413526768273186,1.2255898165867052,-0.0010557367563261474,-0.0020231070474105994
14.683224537569004,1.3438165495724093,-0.000738148899068208,-0.0023041239574184136
12.786969659669921,0.9645020053667963,-0.0015728848709236892,-0.0021772631529866082
10.104405892017894,0.8784217906008394,-0.003496425044881006,-0.001606484009111675
-6.392048161092134,-0.4331647509313825,-0.004563414005281402,-0.00028665359953783387
-5.600009476486775,-0.7539894423894111,-0.003159985134662138,0.0010012511759383003
-2.50884312170092,-0.7268055679575696,-0.0015397480006667727,0.0002065772187556103
2.1316180130324938,-0.43024213861968974,-0.0009479492667466612,-0.00041667545401757877
4.645722616251987,0.020048874678650463,-0.0011613671458183,-0.0017737690504384673
3.0176901050726883,0.3041905535209821,-0.002613621515910885,-0.0034223743176327037
0.43087592339361436,0.41359928978340577,-0.003253941160955365,-0.004126235589025473
-4.510231442578515,0.03976353423126966,-0.0038342321080252,-0.002110657920001202
-26.788802567025414,-1.4796283844267464,-0.005849436051713317,-0.00041338509880994856
-27.042036704204293,-1.5332123095801649,-0.004623635862569361,0.00036225137555767617
-22.56872713451412,-2.108755775132977,-0.0035756538446144355,0.0008661083776724254
-16.95832514074573,-1.7556565775104787,-0.002894894266254564,-0.0014449661568214367
-12.590693517037835,-2.2407163921546953,-0.0027050609317982813,-0.00197662540994914
-14.606357787415618,-1.0637154929587496,-0.00339799083238021,-0.004787883988154107
-19.866398406896224,-1.1520155858704584,-0.005213515599111413,-0.004527551730193036
-25.127311051394827,-0.8450537673452914,-0.006698990125216296,-0.003933818864024996
-51.46811110775343,-2.2110114676568173,-0.007057846816591901,-0.00010666544116810783
-38.801015033623116,-3.374682535626903,-0.0045939251546967645,-0.0025506938562243064
-34.62643165980535,-1.6808357662040407,-0.005823903701863737,-0.006618114062942659
-48.60199122850281,-1.952271133607951,-0.009463206004236929,-0.005024162001360022
-103.73654569302744,-4.840187647511357,-0.0083677343690653,-0.0010099458686076979
-88.33474901816044,-6.201107517910771,-0.008418725242821615,-0.0032708166025585683
-82.5158590481924,-4.134223307949583,-0.008856467084822205,-0.008088763711967317
-100.49742416879417,-4.609121772250205,-0.012378677857305474,-0.006535329746984342
