  373.4375305    0.3926165    0.3901088    0.3841545    0.3846910    0.4013466    0.3720388
  377.5766296    0.4983672    0.3303851    0.4111961    0.4920224    0.5374026    0.5615922
  379.4558716    0.5902311    0.3422939    0.4093394    0.5824149    0.6588302    0.6733407
  381.4636841    0.6907691    0.4008245    0.5295447    0.6685161    0.7702073    0.7836301
  383.4245605    0.8934067    0.5982989    0.6937749    0.9032784    0.9552016    0.8809614
  385.3282166    1.1883093    0.9097389    0.9484386    1.1659877    1.2854180    1.0695536
  387.2761230    1.6536235    1.3472153    1.4229518    1.6256808    1.7554913    1.5478170
  389.3788757    2.3895633    2.1669273    2.2207754    2.3577111    2.4735956    2.2262499
  391.4985352    3.8209295    3.8670824    3.7953823    3.8194544    3.8245647    3.5606198
  393.7800903    8.4573812    8.1660728    8.2918558    8.5674534    8.4263706    8.6325541
  395.3674622   37.5848312   32.9227142   34.1004982   38.3534203   38.1223106   42.6194038
  397.2538757  185.9935303  183.2794342  183.9437256  190.0507202  183.2680054  191.5271912
  399.9934082  291.8508606  299.9802246  295.4249573  298.4632568  284.7967529  289.3025513
  403.2706909  317.4184875  329.6644287  322.7433777  324.1193542  309.5553589  314.5059204
  405.4389343  323.5544434  335.2143555  328.5405273  330.1236572  315.9280701  321.5715942
  407.4372253  335.0139771  348.1058960  341.0921936  341.2842102  327.2702942  332.5816040
  409.4178772  341.6410217  353.7515259  348.1320496  348.1959534  333.6371460  338.6741028
  411.3919678  345.9580688  357.8023987  352.1758118  352.0943298  338.3924255  343.6442261
  413.3440247  357.3524475  369.8964844  364.1800232  363.7729492  349.3485413  355.5108032
  415.2969666  363.8012695  376.8929749  370.8719482  370.0213623  355.8664246  362.9175415
  417.3597412  376.4897156  388.0628967  384.4585266  382.3348389  368.7784424  374.9920044
  419.4570007  381.6245422  393.1349182  392.3876953  387.8406982  372.9480286  379.5261841
  421.2723694  383.3399353  390.5019531  392.2885742  389.4787903  375.4968872  381.8857422
  423.3786011  394.2579041  403.3561096  403.2747803  400.1754150  386.4332886  393.9281616
  425.3177490  402.2521667  412.2045593  411.8612061  408.3920898  394.0338440  402.1584473
  427.3088684  411.7810669  421.0040894  420.1910706  417.5672607  404.2002563  412.3043213
  429.2642822  421.9641113  432.7399902  431.2892151  427.8505249  413.9618530  422.6313477
  431.2552185  429.2398376  440.2028503  439.2431335  435.2065430  420.9956055  430.2679749
  433.2041626  433.4097595  443.4741821  442.6564026  439.2347412  425.5332336  435.6349182
  435.2034302  443.0465698  454.6472168  452.9086609  448.9716492  434.8204346  446.2196655
  437.3036804  449.3763428  462.0577698  459.9881287  455.4996033  440.7220459  452.9906006
  439.3395996  461.9085999  474.7786865  472.7504578  467.8955383  453.3003235  466.3014221
  441.2841492  469.5607300  481.8128357  480.4841309  475.4094238  461.0985413  473.6372681
  443.2841492  473.5254211  485.6197510  484.9218750  479.3126831  465.0157166  478.2167053
  445.2252808  479.1625366  490.5946655  491.2362976  485.0276489  470.4798279  483.8760376
  447.2122192  483.2369995  495.5360107  496.5979004  489.2274170  474.0776672  488.5729980
  449.2138062  487.5581665  500.1367798  502.0830994  493.9435425  477.7700806  493.6586914
  451.0967102  492.1257324  504.1199951  506.4432068  498.4281311  482.5022278  498.7482910
  453.0974121  498.2034912  511.7238159  513.9072266  504.5311584  488.1126709  505.0545654
  455.0508728  503.6716309  516.5894775  519.8897095  510.1070557  493.4161987  510.4083252
  457.1064148  505.7705688  519.6218262  522.3862915  512.3679199  495.2121887  512.7700806
  459.0393677  507.4897461  522.0426025  524.3995361  514.1606445  496.7453003  515.5311890
  461.0459290  515.3861694  530.6034546  532.7820435  521.8788452  504.6251221  523.7166748
  463.0402222  519.6760254  536.6487427  539.0180054  526.2666016  508.2370300  528.4937744
  465.0426636  524.9187012  541.5994873  545.5265503  531.6776733  513.0627441  533.8808594
  467.1276550  525.9350586  542.5300903  547.4598999  533.0581665  513.5631104  534.9537354
  469.0690918  524.7789307  543.0755615  547.2927856  532.2752075  511.7260132  534.5852051
  471.0927429  529.1240234  548.2032471  551.8082886  536.6630859  515.9337769  539.3195801
  473.2851868  533.4127197  552.3323364  555.5487671  540.6641235  520.6063232  544.4884033
  475.0661621  539.3178101  559.7769165  562.5993042  546.2998047  526.3486328  550.6462402
  477.1825867  544.3469238  566.2896118  569.2125854  551.6000977  530.6599731  555.4006348
  479.1875000  543.8974609  564.5217285  567.9637451  551.2939453  530.3806763  555.4744873
  481.2187195  548.0803223  570.8962402  573.4838257  555.3585815  534.1773071  560.5093994
  483.1953430  551.0792847  577.2121582  579.8906860  558.8656006  535.6854858  563.6962280
  485.1962585  550.5678711  574.0880127  578.5083008  558.5936890  535.3820190  563.5075073
  487.1679382  551.1458130  574.4345093  577.6578979  558.6273804  536.7730713  564.9126587
  489.1797485  556.5839233  582.6061401  584.7292480  563.9299316  541.7268066  570.3271484
  491.2187195  561.0348511  585.7856445  589.5125122  568.3534546  546.2224731  574.0058594
  493.1601868  561.4891968  587.7207642  590.5265503  569.1463013  546.1433105  574.3853760
  495.1911316  559.1476440  588.7106934  589.4406128  567.4351196  542.7137451  573.3815308
  497.1486511  564.0277710  592.1442871  593.4099121  571.8190918  548.3402100  578.7410889
  499.0809021  571.4527588  598.7070312  599.8814087  578.3870850  556.7797852  585.1864014
  501.0778503  572.9054565  602.7275391  602.3059692  579.9049072  557.7469482  586.9016113
  503.0000000  576.4226074  606.2047119  605.9841309  583.6867065  561.0067749  590.8024902
  505.9629211  578.9826660  609.4197998  607.5756836  586.0388794  563.9183350  593.4408569
